location,most_liked_dish,no_of_restaurants
Lavelle Road,Cocktails,52
Brigade Road,Nachos,52
BTM,Appam,52
Malleshwaram,Cocktails,52
Lavelle Road,Sangria,52
Koramangala 3rd Block,Mocktails,52
Koramangala 1st Block,Pasta,52
Koramangala 4th Block,Nachos,52
Kalyan Nagar,Pizza,52
Jayanagar,Pizza,52
Koramangala 3rd Block,Waffles,52
Koramangala 5th Block,Tea,52
Brigade Road,Draught Beer,51
New BEL Road,Pizza,51
BTM,Lassi,51
HSR,Sandwiches,51
Jayanagar,Pasta,51
Koramangala 7th Block,Burgers,51
Banashankari,Nachos,51
Indiranagar,Roti,51
BTM,Chai,50
MG Road,Fish,50
Koramangala 4th Block,Sandwiches,50
BTM,Lassi,50
Indiranagar,Dal Makhani,50
Church Street,Burgers,50
JP Nagar,Masala Dosa,50
Lavelle Road,Mocktails,50
JP Nagar,Paratha,50
Koramangala 1st Block,Butter Chicken,50
Church Street,Mocktails,50
Brigade Road,Cocktails,50
Koramangala 4th Block,Salads,50
BTM,Coffee,49
Richmond Road,Biryani,49
HSR,Thali,49
JP Nagar,Sandwiches,49
Marathahalli,Paratha,49
BTM,Shawarma,49
MG Road,Pasta,49
Indiranagar,Salads,49
Jayanagar,Sandwiches,49
MG Road,Pizza,48
Ulsoor,Sandwich,48
Koramangala 5th Block,Thukpa,48
Marathahalli,Vegetable Biryani,48
BTM,Masala Dosa,48
St. Marks Road,Mocktails,48
BTM,Pav Bhaji,48
JP Nagar,Pav Bhaji,48
HSR,Pizza,47
Cunningham Road,Biryani,47
Church Street,Tea,47
Koramangala 5th Block,Salads,47
Koramangala 4th Block,Noodles,47
Koramangala 6th Block,Burgers,47
Koramangala 5th Block,Sea Food,47
Koramangala 5th Block,Thali,47
Koramangala 4th Block,Tea,47
New BEL Road,Pasta,47
Koramangala 7th Block,Beer,46
JP Nagar,Cocktails,46
St. Marks Road,Pasta,46
Indiranagar,Sandwiches,46
Koramangala 5th Block,Tea,46
JP Nagar,Fries,46
Koramangala 5th Block,Chocolate Icecreams,46
Electronic City,Pasta,46
Jayanagar,Rolls,46
Lavelle Road,Pizza,46
JP Nagar,Tea,46
Marathahalli,Pizza,46
Jayanagar,Idli,46
Koramangala 4th Block,Hot Chocolate,45
Jayanagar,Tomato Soup,45
MG Road,Khao Suey,45
Koramangala 5th Block,Paratha,45
St. Marks Road,Pizza,45
Whitefield,Biryani,45
Ulsoor,Salads,45
Marathahalli,Biryani,45
Marathahalli,Mocktails,44
BTM,Sandwich,44
Malleshwaram,Pizza,44
Koramangala 5th Block,Coffee,44
JP Nagar,Butter Naan,44
BTM,Vegetable Biryani,44
Banashankari,Pasta,44
JP Nagar,Salads,44
Koramangala 7th Block,Chicken Wings,44
Indiranagar,Cheesecake,44
BTM,Brownie,44
Koramangala 7th Block,Pizza,44
Indiranagar,Mutton Biryani,44
Jayanagar,Chaat,43
Koramangala 7th Block,Waffles,43
Sarjapur Road,Chicken Biryani,43
HSR,Chaat,43
Koramangala 5th Block,Buttermilk,43
HSR,Coffee,43
Brigade Road,Chicken Curry,43
MG Road,Burgers,42
Koramangala 7th Block,Fries,42
BTM,French Fries,42
Marathahalli,Thali,42
Koramangala 1st Block,Waffles,42
HSR,Cocktails,42
Whitefield,Lassi,42
BTM,Butter Chicken,42
Brigade Road,Tea,41
Koramangala 7th Block,Pizza,41
Bannerghatta Road,French Fries,41
HSR,Salad,41
HSR,Lassi,41
Whitefield,Dal Makhani,41
Shivajinagar,Paratha,41
HSR,Chicken Curry,41
Koramangala 5th Block,Panneer Butter Masala,41
Cunningham Road,Naan,41
Sarjapur Road,Cocktails,41
Jayanagar,Biryani,40
Jayanagar,Fish,40
BTM,Dum Biryani,40
BTM,Tandoori Chicken,40
Koramangala 1st Block,Coffee,40
Whitefield,Nachos,40
Bellandur,Mocktails,40
Richmond Road,Pasta,40
Indiranagar,Fish,40
New BEL Road,Burgers,40
MG Road,Tea,40
Church Street,Beef Steak,40
Koramangala 6th Block,Beer,40
Koramangala 4th Block,Steak,40
Sarjapur Road,Pizza,40
Marathahalli,Mutton Biryani,39
Koramangala 5th Block,Nachos,39
Marathahalli,Butter Chicken,39
Bannerghatta Road,Pasta,39
Marathahalli,Lassi,39
Jayanagar,Pav Bhaji,39
Church Street,Nachos,39
HSR,Filter Coffee,39
Brigade Road,Biryani,39
Whitefield,Fish,39
Richmond Road,Salads,39
Jayanagar,Babycorn Manchurian,39
HSR,Sandwich,39
Koramangala 7th Block,Hot Chocolate,39
Indiranagar,Murgh Ghee Roast,39
Indiranagar,Pasta,39
HSR,Waffles,39
Cunningham Road,Paneer Tikka,39
BTM,Paneer Biryani,38
Koramangala 4th Block,Chilli Chicken,38
Koramangala 5th Block,Chilli Chicken,38
Residency Road,Pizza,38
HSR,Raita,38
Church Street,Momos,38
Koramangala 5th Block,Butter Chicken,38
St. Marks Road,Burgers,38
Indiranagar,Sea Food,38
BTM,Hyderabadi Biryani,38
Richmond Road,Dal Makhani,38
Koramangala 5th Block,Hyderabadi Biryani,38
BTM,Sandwiches,38
Koramangala 5th Block,Sandwiches,38
Richmond Road,Butter Chicken,38
Malleshwaram,Mocktails,38
Indiranagar,Filter Coffee,38
BTM,Oreo Shake,38
Marathahalli,Dal Makhani,38
Ulsoor,Hot Chocolate,38
Jayanagar,Chicken Biryani,38
Koramangala 7th Block,Paratha,38
HSR,Fries,38
Jayanagar,Beer,38
Koramangala 6th Block,Sea Food,38
JP Nagar,Pizza,38
Koramangala 5th Block,Potato Wedges,37
BTM,Masala Dosa,37
Brigade Road,Potato Wedges,37
Lavelle Road,Brownie,37
Jayanagar,Panipuri,37
Jayanagar,Momos,37
Marathahalli,Fish,37
Koramangala 1st Block,Biryani,37
BTM,Dragon Chicken,37
Koramangala 5th Block,Bruschettas,37
Koramangala 3rd Block,Pasta,37
HSR,Dal Makhani,37
Indiranagar,Beer,37
BTM,Fries,37
Koramangala 5th Block,Fries,37
Marathahalli,Chicken Biryani,37
Basavanagudi,Sandwiches,37
JP Nagar,Gulab Jamun,37
Koramangala 5th Block,Mutton Biryani,37
Banashankari,Pasta,37
Indiranagar,Coffee,37
Koramangala 5th Block,Sandwich,36
Residency Road,Waffles,36
Koramangala 7th Block,Brownie Chocolate,36
Koramangala 5th Block,Cup Cake,36
Indiranagar,Pizza,36
Residency Road,Fries,36
Kalyan Nagar,Salad,36
Koramangala 6th Block,Lassi,36
BTM,Dal Makhani,36
HSR,Chicken Biryani,36
St. Marks Road,Nachos,36
Malleshwaram,Nachos,36
BTM,Fish,36
Koramangala 5th Block,Chicken Salad,36
Bellandur,Biryani,36
Indiranagar,Rolls,36
Koramangala 6th Block,Sandwiches,36
Marathahalli,Roti,36
Koramangala 7th Block,Salad,36
Koramangala 1st Block,Burgers,36
Whitefield,Pizza,36
Marathahalli,Tandoori Chicken,36
Koramangala 7th Block,Donut,36
BTM,Mutton Biryani,36
Bellandur,Pasta,36
Koramangala 6th Block,Noodles,36
Indiranagar,Paratha,35
Whitefield,Gulab Jamun,35
Jayanagar,Lassi,35
Whitefield,Mutton Biryani,35
Church Street,Potato Wedges,35
BTM,Egg Roast,35
Indiranagar,Salad,35
Residency Road,Fish,35
JP Nagar,Fish,35
JP Nagar,Chicken Biryani,35
Koramangala 6th Block,Chilli Chicken,35
Koramangala 5th Block,Sea Food,35
Indiranagar,Vada Pav,35
Koramangala 5th Block,French Fries,35
Koramangala 5th Block,Spaghetti,35
Whitefield,Noodles,35
Kalyan Nagar,Fish,35
Koramangala 6th Block,Long Island Iced Tea,35
Koramangala 7th Block,Fish,35
St. Marks Road,Burgers,34
Cunningham Road,Momos,34
