location,most_liked_dish,no_of_restaurants
HSR,Rolls,16
HSR,Watermelon Mojito,16
Brookefield,Hyderabadi Biryani,16
Richmond Road,Tandoori Chicken,16
Jeevan Bhima Nagar,Fish,16
MG Road,Masala Peanuts,16
Sarjapur Road,Pav Bhaji,16
Koramangala 5th Block,Paneer Ke Sholay,16
Koramangala 3rd Block,Nutella Waffle,16
JP Nagar,Chicken Guntur,16
MG Road,Brownie Chocolate,16
Koramangala 1st Block,Panneer Butter Masala,16
Wilson Garden,Friendly Staff,16
Shanti Nagar,Mutton Chops,16
Shanti Nagar,Tea,16
Indiranagar,Chicken Kebab,16
Koramangala 7th Block,Caramel Custard,16
Marathahalli,Chicken Boneless Biryani,16
Ulsoor,Aam Panna,16
Indiranagar,Peri Peri Chicken,16
HSR,Sandwiches,16
Frazer Town,Noodles,16
HSR,Appam,16
Koramangala 6th Block,Spring Roll,16
Infantry Road,Salads,16
Richmond Road,Vada,16
Domlur,Cocktails,16
Malleshwaram,Salads,16
Koramangala 5th Block,Cheesy Pizza,16
Koramangala 8th Block,Hot Chocolate,16
Richmond Road,Sweet Lassi,16
Koramangala 6th Block,Salad,16
Banaswadi,Filter Coffee,16
Koramangala 1st Block,Kulcha,16
BTM,Raj Kachori,15
Marathahalli,Poha,15
Koramangala 5th Block,Chocolate Bomb,15
Church Street,Caramel Custard,15
Koramangala 5th Block,Healthy Breakfast,15
Whitefield,Chicken Wings,15
Koramangala 2nd Block,Paratha,15
BTM,Sweet Lassi,15
Koramangala 1st Block,Palak Paneer,15
Koramangala 5th Block,Garlic Butter Noodle,15
Koramangala 5th Block,Crab Soup,15
Sarjapur Road,Mojito,15
JP Nagar,Garlic Pops,15
JP Nagar,Chocolate Avalanche,15
Church Street,Draught Beer,15
Frazer Town,Tea,15
Koramangala 7th Block,Latte,15
Lavelle Road,Salads,15
Koramangala 1st Block,Mango Ice Cream,15
Sarjapur Road,Khichda,15
Ejipura,Burgers,15
Jayanagar,Lassi,15
Brigade Road,Peri Peri Chicken Satay,15
Koramangala 5th Block,Frittata,15
Bellandur,Burgers,15
HSR,Hakka Noodles,15
Marathahalli,Spring Roll,15
Church Street,Omelette,15
Koramangala 7th Block,Sizzler Brownie,15
Koramangala 4th Block,Masala Peanuts,15
Jayanagar,Ravioli,15
St. Marks Road,Chilli Chicken,15
Indiranagar,Chaat,15
Koramangala 2nd Block,Poha,15
HSR,Chai,15
HSR,Beef Fry,15
Bellandur,Naan,15
Whitefield,Pancakes,15
Electronic City,Pizza,15
Bannerghatta Road,Shawarma Roll,15
Koramangala 5th Block,Belgian Waffles,15
Koramangala 5th Block,Quinoa Salad,15
Brigade Road,Corn Soup,15
St. Marks Road,Cheese Burger,15
Church Street,Pork Ribs,15
Lavelle Road,Begun Pora,15
Whitefield,French Fries,15
JP Nagar,Thin Crust Pizza,15
Jayanagar,Sweet Corn Soup,15
Richmond Road,Cosmopolitan,15
Lavelle Road,Brownie Chocolate,15
Seshadripuram,Pizza,15
Residency Road,Chicken Curry,15
MG Road,Gulab Jamun,15
Whitefield,Chicken Tikka,15
Koramangala 7th Block,Masala Chai,15
HSR,Sushi,15
Koramangala 2nd Block,Chai,15
Koramangala 5th Block,Margarita,15
Koramangala 5th Block,Peri Fries,15
Koramangala 3rd Block,Chicken Lollipop,15
Bannerghatta Road,Mocktails,15
Jayanagar,Waffles,15
Sarjapur Road,Momos,15
Indiranagar,Rasmalai,15
Church Street,Chaat,15
Kalyan Nagar,Appam,15
Ulsoor,Wine,15
Ulsoor,Chocolate Shake,15
JP Nagar,Pork Ribs,15
MG Road,Prawn,15
Koramangala 5th Block,Jasmine Tea,15
MG Road,Kebab Platter,15
Church Street,Mushroom Sandwich,15
Koramangala 5th Block,Chicken Dim Sum,15
Koramangala 5th Block,English Breakfast,15
Indiranagar,Chocolate Cake,15
HSR,Roti,15
Lavelle Road,Berry Pulao,15
Jayanagar,Rasmalai,15
HSR,Paneer Tikka,15
Banashankari,Paratha,15
Lavelle Road,Kanda Bhajiya,15
Lavelle Road,Banana Chips,15
Church Street,Mezze Platter,15
Koramangala 5th Block,Bannoffee Pie,15
Koramangala 5th Block,Chicken Lasagne,15
Koramangala 5th Block,Smoothie Chocolate,15
Koramangala 3rd Block,Cocktails,15
Ulsoor,Paratha,15
Indiranagar,Chicken Dim Sum,15
Brookefield,Butter Naan,15
Marathahalli,Appam,15
MG Road,Mai Thai,15
Whitefield,Mocktails,15
St. Marks Road,Peri Chicken,15
Koramangala 5th Block,Chocolate Shake,15
Church Street,Raj Kachori,15
Koramangala 5th Block,Chocolate Cake,15
Jeevan Bhima Nagar,Panipuri,15
JP Nagar,Shawarma,15
HSR,Thali,15
Basavanagudi,Vada,15
Jayanagar,Churros,15
Lavelle Road,Tender Coconut Ice Cream,15
Commercial Street,Samosa,15
MG Road,Appam,15
St. Marks Road,Ferrero Rocher Milkshake,15
Richmond Road,Chaat,15
Ulsoor,Sangria,15
HSR,Mutton Kosha,15
Residency Road,Chicken Wings,15
Koramangala 5th Block,Rasmalai,15
Koramangala 5th Block,Pancakes,15
Koramangala 4th Block,Chicken Curry,15
Jayanagar,Cappuccino,15
Koramangala 5th Block,Exotic Veg Pizza,15
Banashankari,Hot Chocolate,15
BTM,Fruit Juices,15
Koramangala 5th Block,Chocolate Mocha,15
Koramangala 5th Block,Peanut Butter Milkshake,15
New BEL Road,Pesto Pasta,15
Koramangala 5th Block,Thick Shakes,15
Kalyan Nagar,Wheat Beer,15
BTM,Masala Paneer,15
Electronic City,Tandoori Chicken,15
JP Nagar,Cheesy Garlic Bread,15
Vasanth Nagar,French Fries,15
Banashankari,Spring Roll,15
MG Road,Rabri,15
Koramangala 5th Block,Mushroom Steak,15
Church Street,Chocolate Wonton,15
Banaswadi,Pasta,15
Whitefield,Chicken Burger,15
Kalyan Nagar,Chicken Steak,15
Brigade Road,Thukpa,15
Bellandur,Rolls,15
Indiranagar,Tea,15
Church Street,Tomato Ragout,15
Church Street,Bombay Sandwich,15
JP Nagar,Veg Buffet,15
Lavelle Road,Paratha,15
Indiranagar,Chocolate Sundae,15
JP Nagar,Rice,15
Sarjapur Road,Pizza,15
MG Road,Lemon Basil Chicken,15
Koramangala 5th Block,Lunch Buffet,15
Bellandur,Lunch Buffet,15
MG Road,Chicken Biryani,15
Koramangala 7th Block,Paneer Tikka Masala,15
Kalyan Nagar,Mocktails,15
Malleshwaram,Chips,15
Koramangala 2nd Block,Quinoa Burger,15
HSR,Chole Bhature,15
Lavelle Road,Minestrone Soup,15
Residency Road,Butter Chicken,15
Indiranagar,Tandoori Chicken,15
Richmond Road,Chicken Kebab,15
Residency Road,Stout,15
Ejipura,Chicken Burger,15
HSR,Cappuccino,15
Bellandur,Chole Bhature,15
Shanti Nagar,Nachos,15
Church Street,Thai Green Curry,15
Indiranagar,Jalebi,15
Brigade Road,Veg Momos,15
Brookefield,Vegetable Biryani,15
Residency Road,Miso Soup,15
Indiranagar,Red Velvet Cake,15
Whitefield,Craft Beer,15
HSR,Long Island Iced Tea,15
Richmond Road,Beef Kabab,15
Koramangala 5th Block,Jalapeno Cheeseballs,15
Kalyan Nagar,Nachos,15
Rajajinagar,Salads,15
JP Nagar,Salad,15
Koramangala 5th Block,American Cheese Burger,15
Richmond Road,Prawn,15
St. Marks Road,Chilli Chicken,15
Koramangala 3rd Block,Fish,15
Richmond Road,Cocktails,15
Residency Road,Brewed Beer,15
MG Road,Pad Thai,15
Shivajinagar,Biryani,15
Koramangala 4th Block,Chips,15
Marathahalli,Chole Bhature,15
Koramangala 3rd Block,Momos,15
Church Street,Spaghetti,15
Kammanahalli,Biryani,15
Basavanagudi,Vegetable Biryani,15
Marathahalli,Beer,15
Koramangala 5th Block,Chocolate Dessert,15
HSR,Wings,15
Koramangala 5th Block,Peri Peri Chicken Burger,15
JP Nagar,Idli,15
Lavelle Road,Saffron Pilaf,15
Koramangala 5th Block,Seafood Salad,15
Kammanahalli,Shawarma,15
Sarjapur Road,Fish,15
Residency Road,Mysore Pak,15
Sarjapur Road,Tandoori Chicken,15
Koramangala 5th Block,Wheat Roll,15
Seshadripuram,Pav Bhaji,15
Jayanagar,Spring Roll,15
Residency Road,Tempura,15
Kalyan Nagar,Tea,15
Lavelle Road,Mocha Chingri,15
Koramangala 5th Block,Apple Cider,15
HSR,Rasmalai,15
Residency Road,Salads,15
Basavanagudi,Kesari Bath,15
Kammanahalli,Biryani,15
Jayanagar,Dabeli,15
Jayanagar,Mango Shake,15
Residency Road,Craft Beer,15
Sarjapur Road,Rolls,15
JP Nagar,Rabri,15
Basavanagudi,Nachos,14
Lavelle Road,Brownie,14
Ulsoor,Mutton Biryani,14
Koramangala 3rd Block,Noodles,14
Church Street,Paratha,14
HSR,Blueberry Cheesecake,14
Koramangala 5th Block,Babaganush,14
Richmond Road,Roti,14
Koramangala 5th Block,Hot Chocolate Fudge,14
Marathahalli,Chaat,14
Koramangala 4th Block,Skillet Cookie,14
Bannerghatta Road,Chicken Popcorn,14
Lavelle Road,Singapore Chicken,14
BTM,Hyderabadi Biryani,14
Banaswadi,Masala Dosa,14
BTM,Cappuccino,14
Lavelle Road,Rice Bowl,14
Lavelle Road,Chocolate Volcano,14
JP Nagar,Masala Chai,14
Koramangala 5th Block,Pasta Alfredo,14
Koramangala 4th Block,Dal Tadka,14
Lavelle Road,Sushi,14
Koramangala 4th Block,Enchiladas,14
Koramangala 4th Block,Pho,14
Koramangala 4th Block,Hummus Platter,14
Kammanahalli,Shawarma,14
Basavanagudi,Salads,14
Jayanagar,Chicken Roll,14
Bannerghatta Road,Sea Food,14
Lavelle Road,Sunday Brunch,14
Indiranagar,Buttermilk,14
Jayanagar,Lemon Chicken,14
Koramangala 6th Block,Chaach,14
St. Marks Road,Chicken Paprika,14
Shanti Nagar,Pasta,14
Koramangala 4th Block,Crepe,14
Kalyan Nagar,Ghee Rice,14
Shanti Nagar,Tawa Pulav,14
BTM,Mutton Keema,14
BTM,Basil Pesto Chicken,14
Koramangala 4th Block,Mai Thai,14
JP Nagar,Pongal,14
Indiranagar,Lassi,14
Whitefield,Garlic Bread,14
Lavelle Road,Chicken Yakitori,14
BTM,Fish Grill,14
Bannerghatta Road,Roti,14
HSR,Luchi,14
New BEL Road,Gulab Jamun,14
Koramangala 7th Block,Veg Starter,14
Koramangala 4th Block,Devils Chicken,14
Banashankari,Neer Dosa,14
Koramangala 6th Block,Manchow Soup,14
Koramangala 4th Block,Granola Parfait,14
Whitefield,Sandwich,14
Sarjapur Road,Jalebi,14
Lavelle Road,Fish,14
Basavanagudi,Pasta,14
JP Nagar,Lasagne,14
Brigade Road,Butter Chicken,14
BTM,Peppy Paneer Pizza,14
Koramangala 5th Block,Pita Bread,14
Ulsoor,Pasta,14
Koramangala 5th Block,White Sauce Pasta,14
Frazer Town,Burgers,14
Frazer Town,Chicken Kebab,14
BTM,Bbq Chicken,14
Koramangala 6th Block,Crispy Honey Chilli Chicken,14
Indiranagar,Chicken Nachos,14
Electronic City,Pizza,14
Electronic City,Coffee,14
Kammanahalli,Appam,14
BTM,Exotic Veg Pizza,14
Indiranagar,Masala Papad,14
Marathahalli,Fish Fry,14
JP Nagar,Lime Soda,14
Koramangala 6th Block,Soya Buttermilk,14
Frazer Town,Rolls,14
Koramangala 4th Block,Verdure Pizza,14
JP Nagar,Spring Roll,14
Koramangala 3rd Block,Pinacolada,14
Ulsoor,Crab Soup,14
Lavelle Road,Rolls,14
Shanti Nagar,Coffee,14
Commercial Street,Masala Poori,14
Indiranagar,Salsa,14
Lavelle Road,Tandoori Aloo,14
Koramangala 4th Block,Pinacolada,14
JP Nagar,Maggi,14
Kammanahalli,Chicken Biryani,14
HSR,Raita,14
Marathahalli,Mutton Curry,14
Brigade Road,Cheese Momos,14
Richmond Road,Hara Bhara Kebab,14
BTM,Paan Ice Cream,14
Koramangala 5th Block,Chaat,14
BTM,Paneer Tikka,14
Koramangala 3rd Block,Thai Green Curry,14
Ulsoor,Kozhi Biryani,14
Bellandur,Coffee,14
JP Nagar,Fries,14
Banaswadi,Vada,14
Koramangala 4th Block,Sweet Lassi,14
Koramangala 5th Block,Shrimp Soup,14
Bellandur,Veg Thali,14
Brigade Road,Balti Gosht,14
HSR,Mushroom Manchurian,14
Sarjapur Road,Biryani,14
Koramangala 6th Block,Lime Soda,14
Domlur,Tandoori Chicken,14
Koramangala 4th Block,Hot Pot,14
Bannerghatta Road,Peri Peri Burger,14
BTM,Chicken Sizzler,14
Indiranagar,Chowmein,14
Koramangala 8th Block,Coffee,14
BTM,Basil Soup,14
Lavelle Road,Rasmalai,14
Ulsoor,Chaat,14
Marathahalli,Hyderabadi Biryani,14
Koramangala 4th Block,Fig Ice Cream,14
JP Nagar,Sweet Lassi,14
Bannerghatta Road,Kheer,14
Cunningham Road,Mutton Chops,14
Ulsoor,Pancakes,14
Jeevan Bhima Nagar,Rolls,14
Jayanagar,Gol Gappe,14
Frazer Town,Ghee Rice,14
Koramangala 3rd Block,Clear Soup,14
Richmond Road,Paneer Tikka,14
Lavelle Road,Penne Pasta,14
Koramangala 4th Block,Pumpkin Soup,14
HSR,Andhra Thali,14
Lavelle Road,Crab Cake,14
Koramangala 6th Block,Hara Bhara Kabab,14
Kalyan Nagar,French Fries,14
Lavelle Road,Sushi,14
BTM,Chilli Chicken,14
Indiranagar,Thai Green Curry,14
Lavelle Road,Mutton Seekh,14
Ejipura,Butter Chicken,14
Residency Road,Dal Makhani,14
Jayanagar,Pizza Sandwich,14
Koramangala 4th Block,Veg Bao,14
Frazer Town,Chocolate Cake,14
Richmond Road,Tomato Soup,14
Kalyan Nagar,Sandwiches,14
Lavelle Road,Chocolava,14
Koramangala 5th Block,Beef Burger,14
Indiranagar,Apple Pie,14
Lavelle Road,Paneer Manchurian,14
Jayanagar,Samosa,14
Whitefield,Chole Bhature,14
Koramangala 8th Block,Potato Wedges,14
Koramangala 6th Block,Butter Garlic Prawns,14
Banashankari,Coffee,14
BTM,Phirni,14
Koramangala 5th Block,Teriyaki Chicken,14
Shivajinagar,Custard,14
Church Street,Fish,14
Koramangala 4th Block,Coffee,14
BTM,Honey Chilli Fries,14
Basavanagudi,Pasta Alfredo,14
Koramangala 5th Block,Beef Nachos,14
Malleshwaram,Tiramisu,14
Koramangala 4th Block,Paneer Lababdar,14
Koramangala 4th Block,Thali,14
Ejipura,Paratha,14
New BEL Road,Paratha,14
HSR,Kothu Parotta,14
Koramangala 5th Block,Beer Cocktail,14
Koramangala 3rd Block,Spicy Crabmeat Soup,14
Ulsoor,Gulab Jamun,14
Kammanahalli,Mutton Biryani,14
Lavelle Road,Breakfast Buffet,14
Koramangala 5th Block,Paneer Tikka,14
Koramangala 4th Block,Aloo Papdi Chaat,14
Rajajinagar,Chaat,14
BTM,Cold Coffee,14
Bannerghatta Road,Crunchy Veg Burger,14
HSR,Clear Soup,14
Koramangala 4th Block,Vegetable Biryani,14
HSR,Mutton Curry,14
Koramangala 5th Block,Belgian Chocolate,14
Residency Road,Chilli Chicken,14
Koramangala 4th Block,Buttermilk,14
Koramangala 5th Block,Chole Bhature,14
Jayanagar,Grilled Sandwich,14
Koramangala 7th Block,Bbq Chicken,14
Residency Road,Kulcha,14
JP Nagar,Egg Salad,14
Shanti Nagar,Aloo Biryani,14
Kalyan Nagar,Chicken Biryani,14
Malleshwaram,Mojito,14
Bannerghatta Road,Neer Dosa,14
Marathahalli,Salads,14
Koramangala 7th Block,Caramel Pudding,14
Koramangala 4th Block,Stuffed Kulcha,14
BTM,Crispy Corn,14
Marathahalli,Breakfast Buffet,13
Ulsoor,Amritsari Kulcha,13
Koramangala 4th Block,Prawn,13
Brigade Road,Appam,13
HSR,Chicken Guntur,13
Church Street,Thali,13
Church Street,Pepper Chicken,13
Koramangala 4th Block,Custard,13
St. Marks Road,Garlic Chicken,13
Church Street,Chocolate Milkshake,13
Koramangala 4th Block,Supreme Chicken Biryani,13
St. Marks Road,Peri Peri Wings,13
Whitefield,Pav Bhaji,13
Domlur,Pancakes,13
Marathahalli,Chicken Guntur,13
Koramangala 6th Block,Mini Idlis,13
Domlur,Kerala Parotta,13
JP Nagar,Thick Shakes,13
St. Marks Road,Fish,13
Marathahalli,Burgers,13
Koramangala 3rd Block,Masala Papad,13
JP Nagar,Veg Starter,13
Ulsoor,Chicken Stew,13
MG Road,Chilli Paneer,13
Koramangala 5th Block,Cosmopolitan,13
BTM,Cheese Paratha,13
Bannerghatta Road,Waffles,13
JP Nagar,Crispy Corn,13
Cunningham Road,Mutton Soup,13
Koramangala 4th Block,Veg Thali,13
Koramangala 6th Block,Shahi Paneer,13
BTM,Panner Tikka,13
Koramangala 5th Block,Fire Shots,13
Koramangala 6th Block,Pongal,13
Jayanagar,Idli Vada,13
Bellandur,Tandoori Chicken,13
Ulsoor,Jumbo Prawns,13
Ulsoor,Miso Soup,13
Koramangala 1st Block,Raita,13
Richmond Road,Tequila,13
Koramangala 3rd Block,Egg Chilli,13
Brigade Road,Nolen Gurer Ice Cream,13
Electronic City,Salads,13
Ulsoor,Mutton Stew,13
Koramangala 5th Block,Chocolate Biscuit,13
Koramangala 1st Block,Pork Chops,13
HSR,Shahi Paneer,13
Kammanahalli,Burgers,13
Brigade Road,Nolen Gur,13
St. Marks Road,Brownie,13
Bannerghatta Road,Burgers,13
Vasanth Nagar,White Sauce Pasta,13
Cunningham Road,Laham Mandi,13
Brigade Road,Rice,13
Koramangala 7th Block,Hot Chocolate,13
Frazer Town,Pizza,13
JP Nagar,Chilli Babycorn,13
Koramangala 4th Block,Mai Thai,13
Marathahalli,Panipuri,13
MG Road,Lobster Risotto,13
Indiranagar,Chicken Sukha,13
Banashankari,Mojito,13
Sarjapur Road,Mutton Biryani,13
Residency Road,Beer,13
Whitefield,Raita,13
Malleshwaram,Dahipuri,13
Indiranagar,Gelato,13
Indiranagar,Singapore Noodles,13
Brookefield,French Fries,13
Commercial Street,Momos,13
Bannerghatta Road,Wings,13
Church Street,Espresso,13
New BEL Road,Fish,13
Ulsoor,Mediterranean Platter,13
Kalyan Nagar,Chaat,13
BTM,Chicken Nachos,13
BTM,Kerala Parotta,13
MG Road,Lobster Bisque,13
Church Street,Butter Garlic Prawns,13
BTM,Roast Chicken,13
HSR,Pinacolada,13
BTM,Kachori,13
Marathahalli,Rice,13
BTM,Veg Platter,13
Lavelle Road,Jalapeno Poppers,13
Church Street,Chicken Chettinad,13
Indiranagar,Lassi,13
Indiranagar,English Breakfast,13
Koramangala 4th Block,Mutton Bone Soup,13
JP Nagar,Malai Broccoli,13
MG Road,Nachos,13
Whitefield,Murgh Ghee Roast,13
Domlur,Waffles,13
JP Nagar,Thali,13
Sarjapur Road,Burgers,13
Koramangala 1st Block,Omelette,13
Koramangala 3rd Block,Masala Peanuts,13
Church Street,Chicken Quiche,13
Jayanagar,Maggi,13
Koramangala 3rd Block,Opera Cake,13
Koramangala 1st Block,Chicken Lasagne,13
Koramangala 4th Block,Gulab Jamun,13
Cunningham Road,Kulfi,13
BTM,Chocolate Muffin,13
Commercial Street,Nepali Thali,13
Bellandur,Cocktails,13
Kalyan Nagar,Mojito,13
HSR,Fries,13
St. Marks Road,Chole,13
Church Street,Idiyappam,13
Church Street,Chicken Wings,13
Indiranagar,Chicken Satay,13
Church Street,Beer,13
Ulsoor,Tom Yum Soup,13
St. Marks Road,Masala Corn,13
Brookefield,Chicken Biryani,13
Koramangala 5th Block,Chocolate Lollipop,13
BTM,Donut,13
MG Road,Pulled Pork,13
BTM,Chicken Stew,13
Koramangala 1st Block,Chicken Burger,13
Domlur,Beer,13
Church Street,Fry Prawns,13
Whitefield,Lassi,13
Koramangala 5th Block,Crispy Water Chestnuts,13
Koramangala 3rd Block,Pasta Arrabiata,13
Brigade Road,Gur Ice Cream,13
St. Marks Road,Wine,13
Whitefield,Rolls,13
Koramangala 5th Block,Chocolate Ganache,13
Ulsoor,Brownie,13
New BEL Road,Coffee,13
Koramangala 1st Block,Chocolate Cake,13
Koramangala 4th Block,Korean Ice Cream,13
Koramangala 5th Block,Tiramisu Martini,13
St. Marks Road,French Fries,13
JP Nagar,Tomato Soup,13
Koramangala 4th Block,Curd Rice,13
Marathahalli,Shawarma,13
Kalyan Nagar,Noodles,13
Sarjapur Road,Jumbo Prawns,13
Indiranagar,Fish Curry,13
Ulsoor,Steak,13
Indiranagar,Fish Fry,13
Koramangala 3rd Block,Beer,13
Domlur,Fish Curry,13
St. Marks Road,Sangria,13
Ulsoor,Lemongrass Tea,13
Banashankari,Chaat,13
JP Nagar,Masala Dosa,13
BTM,Roast Chicken,13
Church Street,Coffee,13
Koramangala 7th Block,Pav Bhaji Fondue,13
Banashankari,Potato Wedges,13
Sarjapur Road,Curry Crab,13
HSR,Tea,13
HSR,Peri Peri Chicken Steak,13
Residency Road,Vada,13
Richmond Road,Paneer Tikka,13
JP Nagar,Chicken Lasagne,13
Vasanth Nagar,Veggie Pizza,13
HSR,Murgh Ghee Roast,13
Richmond Road,Salad,13
BTM,Tangdi Kabab,13
St. Marks Road,Chicken Pakora,13
Ulsoor,Appam,13
Kalyan Nagar,Chicken Tikka,13
MG Road,Tortilla Soup,13
MG Road,Lasagne,13
Koramangala 7th Block,Nasi Goreng,13
Residency Road,Masala Peanuts,13
Sarjapur Road,Goan Fish Curry,13
HSR,Chaat,13
MG Road,Salad,13
Koramangala 5th Block,Beef Chilli,13
Cunningham Road,Jeera Rice,13
MG Road,Chicken Wings,13
Vasanth Nagar,Peri Peri Fries,13
Brigade Road,Biryani,13
Kalyan Nagar,Mutton Biryani,13
JP Nagar,Rolls,13
Marathahalli,Chai,13
Koramangala 7th Block,Samosa,13
Church Street,Filter Coffee,13
Banashankari,Lunch Buffet,13
Frazer Town,Chicken Lollipop,13
Church Street,Peri Peri Chicken Burger,13
Koramangala 5th Block,Veg Momos,13
Koramangala 6th Block,Margherita Pizza,13
Old Airport Road,Burgers,13
JP Nagar,Chole,13
JP Nagar,Martini,13
Kammanahalli,Ghee Rice,13
Brigade Road,Apple Pie,13
Bannerghatta Road,Paratha,13
MG Road,Tacos,13
Church Street,Cocktails,13
Koramangala 1st Block,Mushroom Nuggets,13
Indiranagar,Vanilla Ice Cream,13
Ulsoor,Rolls,13
Ulsoor,Dal Makhani,13
St. Marks Road,Mezze Platter,13
Residency Road,Masala Peanuts,13
Brookefield,Hot Chocolate,13
Koramangala 3rd Block,Chilli Chicken,13
Vasanth Nagar,Burgers,13
Koramangala 3rd Block,Beef Burger,13
Church Street,Hot Dog,13
Ulsoor,Sea Food,13
Residency Road,Beer,13
Koramangala 3rd Block,Mushroom Bruschettas,13
Koramangala 6th Block,Virgin Mojito,13
Whitefield,Veg Burger,13
Koramangala 1st Block,Draught Beer,13
Kammanahalli,Beef Burger,13
New BEL Road,Chicken Wings,13
Koramangala 1st Block,Fries,13
Koramangala 6th Block,Vada Pav,13
Koramangala 4th Block,Chicken Nachos,13
Banashankari,Biryani,13
Old Airport Road,Biryani,13
HSR,Momos,13
Brookefield,Cappuccino,13
Koramangala 4th Block,Fries,13
Koramangala 4th Block,Chocolate Oreo,13
Koramangala 4th Block,Bingsu,13
Koramangala 4th Block,Cheesecake,13
BTM,Poha Jalebi,13
MG Road,Chicken Burritos,13
Koramangala 5th Block,Kerala Parotta,13
HSR,Liti Chokha,13
Church Street,Mushroom Quiche,13
Commercial Street,Chicken Momo,13
Vasanth Nagar,Exotic Pizza,13
HSR,Chole,13
Brigade Road,Mascarpone Cheese,13
MG Road,Margarita,13
Ulsoor,Clear Soup,13
Rajajinagar,Mutton Biryani,13
Indiranagar,Vada,13
St. Marks Road,Pakoda,13
Koramangala 5th Block,Paneer Makhani,13
Banashankari,Gelato,13
Koramangala 4th Block,Lime Soda,13
Bannerghatta Road,Thai Red Curry,13
Marathahalli,Chicken Grill,13
Bellandur,Panipuri,13
Bellandur,Mutton Curry,13
Bellandur,Malai Kofta,13
BTM,Mutton Curry,13
BTM,Chicken Tikka Masala,13
Electronic City,Sandwiches,13
Ulsoor,Pad Thai,13
Bellandur,Dal Makhani,13
Church Street,Caramel Frappe,13
Domlur,Sandwiches,13
Koramangala 3rd Block,Blueberry Smoothie,13
Ulsoor,Sashimi,13
MG Road,Lamb,13
Marathahalli,Paneer Tikka,13
Bellandur,Chole,13
Church Street,Snicker Shake,13
Koramangala 5th Block,Wedges,13
Koramangala 3rd Block,Pepper Chicken,13
Brigade Road,Paan Ice Cream,13
Ulsoor,Chole,13
Vasanth Nagar,Sandwiches,13
Ulsoor,Cheesy Garlic Bread,13
Indiranagar,Hakka Noodles,13
BTM,Indori Poha,13
Lavelle Road,Lunch Buffet,13
Koramangala 4th Block,Draught Beer,13
Jayanagar,Corn Sandwich,13
Brookefield,Tea,13
Koramangala 5th Block,Corn Fry,13
Cunningham Road,Mutton Biryani,13
Ulsoor,Egg Roast,13
Koramangala 1st Block,Fish Fingers,13
Jayanagar,Andhra Meal,13
JP Nagar,Stuffed Chicken,13
Commercial Street,Thukpa,13
Commercial Street,Chilli Momo,13
Koramangala 5th Block,Devils Chicken,13
Jayanagar,Falafel,13
Ulsoor,Mocktails,13
Indiranagar,Chocolate Mousse,13
Commercial Street,Noodles,13
Richmond Road,Garlic Naan,13
Koramangala 6th Block,Thali,13
Whitefield,Risotto,13
Koramangala 1st Block,Chocolate Milkshake,13
Sarjapur Road,Caesar Salad,13
BTM,Paneer Tikka,13
Church Street,Prawn Curry,13
Ulsoor,Lassi,13
Koramangala 3rd Block,Chicken Tikka,13
MG Road,Asparagus Risotto,13
JP Nagar,Garlic Bread,12
Richmond Road,Noodles,12
Brigade Road,Idli Vada,12
Commercial Street,Raita,12
Commercial Street,Kebab Platter,12
Shivajinagar,Seekh Kebab,12
Shivajinagar,Ginger Tea,12
Commercial Street,Panipuri,12
Whitefield,Mousse,12
JP Nagar,Chicken Pakora,12
HSR,Garlic Naan,12
HSR,Palak Paneer,12
Koramangala 5th Block,Whole Meat Shawarma,12
Richmond Road,Salads,12
MG Road,Apple Pie,12
HSR,Mutton Fry,12
Shanti Nagar,Pasta,12
Shivajinagar,Mojito,12
JP Nagar,Custard,12
MG Road,Seafood Soup,12
Koramangala 7th Block,Chocolate Bomb,12
BTM,Beer,12
Ulsoor,Chicken Biryani,12
Ulsoor,Biryani,12
JP Nagar,Cup Cake,12
MG Road,Oreo Shake,12
Jayanagar,Tiramisu,12
Residency Road,Grape Juice,12
Brigade Road,Beef Chilli,12
Brigade Road,Kabab Platter,12
Koramangala 8th Block,Chicken Lollipop,12
Kalyan Nagar,Vada,12
Bannerghatta Road,Naan,12
Church Street,Dehati Chicken,12
Old Airport Road,Coffee,12
Koramangala 4th Block,Mezze Platter,12
Malleshwaram,Fries,12
Rajajinagar,Paneer Tikka,12
Jayanagar,Fish Fry,12
Church Street,Steak,12
Koramangala 7th Block,Fish Thali,12
Bellandur,Brownie,12
Sarjapur Road,Tea,12
MG Road,Oysters,12
JP Nagar,Chowmein,12
New BEL Road,Butter Chicken,12
MG Road,Vada Pav,12
Malleshwaram,Sea Food,12
Domlur,Mutton Biryani,12
Koramangala 6th Block,Pasta Alfredo,12
MG Road,Jeera Rice,12
Brigade Road,Curd Rice,12
Malleshwaram,Rolls,12
Jayanagar,Maggi,12
Marathahalli,Coffee,12
Race Course Road,Brownie,12
Electronic City,Fish,12
Kalyan Nagar,Roti,12
Lavelle Road,Beer,12
Brigade Road,Chocolate Waffles,12
Whitefield,Sandwich,12
Koramangala 5th Block,Churros,12
Kalyan Nagar,Naan,12
Jayanagar,Coffee Shake,12
Ulsoor,Churros,12
Cunningham Road,Bamboo Biryani,12
Koramangala 6th Block,Lemongrass Chicken,12
Koramangala 5th Block,Brownie Chocolate,12
Wilson Garden,Momos,12
